sim_time,occupation_value,current_working_value
0,0,0
1.8000000000000007,10,0.0
2.8000000000000016,10,0.0
3.0000000000000018,10,0.0
3.0000000000000018,10,0.0
6,10,5.0
7,10,20.0
7,10,20.0
9.069307751922539,9,20.0
9.069307751922539,9,20.0
11,9,20.0
12,9,35.0
12.816300848252554,9,40.0
14.2,17,25.0
15.0,18,25.0
16,18,25.0
17.071907896309227,18,35.0
17.071907896309227,18,35.0
19.2,28,30.0
20.071907896309227,38,35.0
21,38,55.00000000000001
22.161907896309227,39,40.0
23.071907896309227,43,50.0
23.071907896309227,43,50.0
24.8,53,55.00000000000001
26,74,50.0
27,74,55.00000000000001
27.984089347694805,73,50.0
29.09,70,35.0
29.861576916908664,77,45.0
31,77,45.0
31.751576916908665,76,40.0
32.75157691690866,75,35.0
34.0,76,25.0
35,76,45.0
36,76,45.0
37.227135135683,82,65.0
38.09,89,55.00000000000001
39.09,93,45.0
39.09,93,45.0
41,92,45.0
41.89,96,35.0
41.89,96,35.0
44.06587690582212,93,25.0
44.06587690582212,93,25.0
46,93,45.0
46.86687341888813,93,75.0
47.76,90,65.0
49.09,89,55.00000000000001
49.87687341888813,89,40.0
51,87,30.0
51.77994022303411,87,40.0
53,87,40.0
53,87,40.0
54.26994022303411,94,35.0
56,100,30.0
56.87994022303411,100,30.0
57.99994022303411,100,30.0
58.74994022303411,100,30.0
60,100,30.0
61.11016200976134,100,30.0
62,100,30.0
62,100,30.0
64.09258648141807,98,30.0
64.09258648141807,98,30.0
66,96,30.0
67,96,30.0
67.66334403828564,96,30.0
68.32,88,30.0
68.32,88,30.0
71,88,30.0
72,88,30.0
72,88,30.0
72,88,30.0
75.0,88,95.0
76,88,100.0
77.2,77,70.0
78.2,87,25.0
79.0,81,20.0
79.92276719562831,81,20.0
81,81,20.0
82,81,20.0
82,81,20.0
83.4,69,15.0
85,69,15.0
86,69,15.0
87,69,35.0
88.0,45,25.0
88.89,46,20.0
89.6,59,10.0
91,59,10.0
92,59,45.0
92,59,45.0
94.00863273293967,60,40.0
94.95534244872972,57,30.0
96,57,30.0
96.44534244872972,71,25.0
96.44534244872972,71,25.0
99.00534244872972,78,50.0
99.8105361215704,78,50.0
101,81,45.0
101.69534244872972,80,55.00000000000001
101.69534244872972,80,55.00000000000001
104.16,95,40.0
105,74,60.0
106,74,75.0
106.78,68,60.0
108.01,59,65.0
109,39,55.00000000000001
109.86865131129905,27,55.00000000000001
111.08534244872972,19,85.0
112.16,3,85.0
112.24,4,90.0
114.24534244872972,3,100.0
115.17,3,100.0
116.13534244872972,3,100.0
116.28999999999999,3,100.0
116.28999999999999,3,100.0
116.28999999999999,3,100.0
120,3,100.0
121,3,100.0
121.98517188694305,3,100.0
121.98517188694305,3,100.0
121.98517188694305,3,100.0
121.98517188694305,3,100.0
126,3,100.0
126,3,100.0
126,3,100.0
126,3,100.0
126,3,100.0
131,3,100.0
131,3,100.0
133,3,100.0
133,3,100.0
135,3,100.0
136.1989357326384,3,100.0
136.1989357326384,3,100.0
136.1989357326384,3,100.0
136.1989357326384,3,100.0
140,3,100.0
141,3,100.0
141,3,100.0
142.37773291590773,3,100.0
142.37773291590773,3,100.0
142.37773291590773,3,100.0
146,3,100.0
147,3,100.0
147,3,100.0
149,3,100.0
149,3,100.0
151,3,100.0
151.2285409673387,3,100.0
151.2285409673387,3,100.0
153.8912546549733,3,100.0
153.8912546549733,3,100.0
156.11887027619653,3,100.0
156.11887027619653,3,100.0
158,3,100.0
158,3,100.0
158,3,100.0
161,3,100.0
161,3,100.0
163.38646047545205,3,100.0
163.38646047545205,3,100.0
163.38646047545205,3,100.0
166,3,100.0
167,3,100.0
167,3,100.0
167,3,100.0
170,3,100.0
171,3,100.0
171,3,100.0
173,3,100.0
174.36173393390888,3,100.0
174.36173393390888,3,100.0
176,3,100.0
176,3,100.0
176,3,100.0
179.44629273557942,3,100.0
179.44629273557942,3,100.0
181,3,100.0
181,3,100.0
181,3,100.0
184.2173405821516,3,100.0
184.2173405821516,3,100.0
186,3,100.0
186,3,100.0
188.69598710427607,3,100.0
189,3,100.0
189,3,100.0
191,3,100.0
191,3,100.0
191,3,100.0
191,3,100.0
195,3,100.0
196,3,100.0
197.15741364981415,3,100.0
197.15741364981415,3,100.0
197.15741364981415,3,100.0
